"","uid","memory","expectation","target","Test_T1_suspectIdentified","confidence_rating","justification_justification","demographics_age","demographics_gender","demographics_country","CID","Miss","TPFoilID","CR","TAFoilID"
"1",4508472360042496,"W","H","P","F68",85,"The woman's facial features were somewhat distinct and felt recognizable among the lineup.",35,"male","USA",1,0,0,0,0
"2",4518701109870592,"S","L","P","F147",40,"Looked at the eyes of each person, trying to recall the eyes when the person in the video looked at the camera. I wanted to say that the person wasn't present, since you said there was a 70% chance she wasn't. But for some reason the person I chose really stuck out at me. She just seemed to be the right one.",42,"female","USA",0,0,1,0,0
"3",4519131999109120,"W","H","P","F68",20,"she had the curly wavy dark hair and big eyes",45,"male","USA",1,0,0,0,0
"4",4524301210353664,"W","H","P","F147",15,"It was a gut feeling. I'm not sure i could really identify the girl from the original video ",34,"male","USA",0,0,1,0,0
"5",4525058198339584,"S","H","P","F68",80,"I tried to remember how their mouth looked and their eyes",25,"female","USA",1,0,0,0,0
"6",4526280301084672,"W","L","P","F147",75,"I made my decision on her looks. The information I used to determine this was mainly from my memory.",63,"female","USA",0,0,1,0,0
"7",4526353181310976,"S","L","P","F68",75,"She looked similar to what I remember seeing",35,"female","USA",1,0,0,0,0
"8",4526468809883648,"W","H","A","F34",50,"She seems to have similar features to the one in the video. The video didnt give a good enough glance to be 100% positive. But I based off what I remembered of hair and facial features",28,"female","USA",0,0,0,0,1
"9",4527314381570048,"W","H","P","F68",90,"I used my memory and cognitory abilities.",35,"male","USA",1,0,0,0,0
"10",4536221539762176,"W","H","A","F177",25,"Her face is the only one that seemed at all familiar based on how she looked in the camera at the end of the original video but her hair looks different.  I am not confident however.",58,"female","USA",0,0,0,0,1
"11",4539739721957376,"S","L","A","F147",80,"I just tried to remember what the woman looked like. I didn't do anything special in particular.",27,"male","USA",0,0,0,0,1
"12",4540240890953728,"S","H","A","Silhouette",50,"I'm pretty sure I didn't see them in the lineup.  They all looked very similar but I don't think any were her.",39,"female","USA",0,0,0,1,0
"13",4545090244575232,"W","H","P","F147",60,"I thought the person I chose looked like they had been in the original.  I'm not that confident but think it's more likely than not at all.",35,"male","USA",0,0,1,0,0
"14",4546339945840640,"S","L","A","Silhouette",55,"I tried to remember how the person looked and after looking at the photos that were listed I did not see anyone that looked like the first person. I felt that if i couldn't correctly pick the person then i wasnt going to pick anyone and be wrong.",36,"male","USA",0,0,0,1,0
"15",4547961832865792,"S","L","P","F68",50,"Her face looks the most familiar to me.",52,"female","USA",1,0,0,0,0
"16",4548512326877184,"W","L","P","Silhouette",72,"I just tried to remember what she looked like and I didn't see anyone quite like her.",36,"male","USA",0,1,0,0,0
"17",4555959934386176,"S","H","P","F147",90,"I am very certain it was the woman I selected.  The view of her face it the video wasn't very clear.",36,"female","USA",0,0,1,0,0
"18",4556184547753984,"S","L","P","F176",70,"She looks the closely to the girl that I saw. ",32,"female","USA",0,0,1,0,0
"19",4564949317713920,"W","H","P","F177",80,"I visualized the original video clip, remembering that I noticed she didn't have what I would call conventional features. I was looking for a nose that matched what I remember. That was the basis of my choice.",59,"female","USA",0,0,1,0,0
"20",4572943241707520,"W","L","P","F147",80,"Primarily facial features, hair color and length was a smaller factor.",69,"male","USA",0,0,1,0,0
"21",4573610840686592,"S","L","P","F34",60,"i just went with the face shape i remember",30,"male","USA",0,0,1,0,0
"22",4574924094046208,"S","L","P","F147",75,"one women and two men in the office and computer and sitting ",28,"male","USA",0,0,1,0,0
"23",4577388398641152,"W","H","P","F68",60,"I just tried to remember as many traits as I could - shape of face, skin tone, distance between eyes, nose shape, hair color and texture",32,"male","USA",1,0,0,0,0
"24",4583741057925120,"S","H","P","F68",20,"Facial features. To be honest, I'm not really sure.",36,"male","USA",1,0,0,0,0
"25",4587258904576000,"S","L","A","F147",95,"That was looked more familiar than any of the others. Basically her nose stuck out to me. ",28,"female","USA",0,0,0,0,1
"26",4591169690402816,"W","L","P","F176",65,"I was going buy her facial features",38,"male","USA",0,0,1,0,0
"27",4594373467570176,"S","H","P","F68",30,"I thought her hair looked similar, but not entirely sure I just remember it was sorta blondish.  ",29,"male","USA",1,0,0,0,0
"28",4597488526819328,"S","H","P","Silhouette",90,"she just didn't look like the person, some are close but not really her ",35,"male","USA",0,1,0,0,0
"29",4600499751878656,"S","H","P","F68",80,"I just selected the one that I thought was her.",25,"female","USA",1,0,0,0,0
"30",4601848640045056,"W","H","P","F68",95,"When I was watching the video, I specifically looked at her features and the way her hair was parted and its color. ",24,"female","USA",1,0,0,0,0
"31",4604217264177152,"W","H","P","F147",95,"I just looked at the faces until i came across the photo. I wasn't for sure until i came across that photo and something inside just clicked and then i remembered het round face.",35,"female","USA",0,0,1,0,0
"32",4610536956231680,"W","L","P","F68",75,"I just went with my instinct, my gut.  I thought that was her and I picked her. ",32,"male","USA",1,0,0,0,0
"33",4611355013283840,"S","L","P","F147",80,"I think the hair and nose really stand out for me.",27,"male","USA",0,0,1,0,0
"34",4611852759728128,"S","L","A","F147",55,"I tried to match the hairstyle and facial features(such as facial structure and nose shape) of the young women in the original video to the picture that I selected. ",36,"male","USA",0,0,0,0,1
"35",4616708690018304,"W","L","P","F176",60,"She had a full nondescript face",31,"male","USA",0,0,1,0,0
"36",4618881071054848,"W","L","P","F147",60,"Her hair and facial features are similar",60,"male","USA",0,0,1,0,0
"37",4619312916594688,"S","H","P","F68",85,"I made sure I paid attention",26,"female","USA",1,0,0,0,0
"38",4621296251961344,"W","H","P","F147",50,"Shoulder length hair, the color of hair and best guess between 3 that were possible matches.",60,"male","USA",0,0,1,0,0
"39",4626164597391360,"S","H","P","F68",85,"I just felt like my overall impression of her facial features was the same",23,"male","USA",1,0,0,0,0
"40",4628942501707776,"W","H","A","Silhouette",80,"I feel like I made a general impression of the woman in my mind from the video and none of the women in the lineup quite fit that general impression.",34,"female","USA",0,0,0,1,0
"41",4630164101136384,"W","H","P","F147",20,"I do not know if I am correct I just guessed",28,"female","USA",0,0,1,0,0
"42",4631387764162560,"W","L","P","F176",40,"I chose the face that I believe was most similar to the woman I saw in the original video.",20,"male","USA",0,0,1,0,0
"43",4633867889672192,"W","L","P","F147",65,"I remember her features",38,"male","USA",0,0,1,0,0
"44",4645292838223872,"S","L","A","F177",60,"Same hair color and something about their facial structure reminded me of the person in the video. ",31,"female","USA",0,0,0,0,1
"45",4645914467631104,"S","L","A","F147",87,"Facial features and hair color are both extremely similar to the young woman in the first video.",41,"female","USA",0,0,0,0,1
"46",4647757142818816,"S","L","A","Silhouette",20,"I looked at all the photos.  Some people look similar but I could not confidently pick a person that was the same based on my memory.  I chose not present. ",39,"female","USA",0,0,0,1,0
"47",4649368762187776,"S","L","P","Silhouette",90,"Hair color and length as well as facial shape and features.",54,"female","USA",0,1,0,0,0
"48",4649595070054400,"W","L","A","F176",80,"I remembered her face, and hair, and color of different features cheeks, hair, skin",31,"female","USA",0,0,0,0,1
"49",4650479296446464,"S","H","P","F147",70,"I remember her smile. I decided she was in the lineup because there were a couple women who didn't look like her, which meant that they found enough people, including the original person, that they even found people who didn't look like her. If there were only two or three people in the lineup, my answer may have changed.",31,"male","USA",0,0,1,0,0
"50",4650836768587776,"S","H","P","Silhouette",0,"I don't recall the person enough to positively identify her.",46,"male","USA",0,1,0,0,0
